feature,shap_value,absolute_shap_value
Feature_889,0.025674644340355712,0.025674644340355712
Feature_85,0.018052615702086428,0.018052615702086428
Feature_113,0.01657759233375998,0.01657759233375998
Feature_729,0.014435670510076904,0.014435670510076904
Feature_65,0.011330163389453246,0.011330163389453246
Feature_143,0.01081733641764643,0.01081733641764643
Feature_931,-0.010568403433889699,0.010568403433889699
Feature_930,0.01012744302130045,0.01012744302130045
Feature_306,-0.00902883759056806,0.00902883759056806
Feature_512,0.008577846009654309,0.008577846009654309
Feature_882,0.008099164326776815,0.008099164326776815
Feature_981,0.0077814138822532184,0.0077814138822532184
Feature_936,-0.007455747886423154,0.007455747886423154
Feature_876,0.0074389830439329785,0.0074389830439329785
Feature_725,0.007329869140894516,0.007329869140894516
Feature_856,0.006170195965056564,0.006170195965056564
Feature_434,0.006004168290479584,0.006004168290479584
Feature_699,0.005518815580823002,0.005518815580823002
Feature_129,0.005129658722401018,0.005129658722401018
Feature_390,0.00502454162549764,0.00502454162549764
Feature_103,0.00445158709444371,0.00445158709444371
Feature_625,0.0042350287279577965,0.0042350287279577965
Feature_137,0.004199591906721025,0.004199591906721025
Feature_35,0.004126075023981422,0.004126075023981422
Feature_674,0.004050710383405658,0.004050710383405658
Feature_315,0.0039417807183971835,0.0039417807183971835
Feature_800,0.0038166209053377997,0.0038166209053377997
Feature_148,0.0036083763531364354,0.0036083763531364354
Feature_955,0.0034717173411223713,0.0034717173411223713
Feature_169,0.003357207241244282,0.003357207241244282
Feature_660,0.0031101377213563807,0.0031101377213563807
Feature_379,0.003015004442117366,0.003015004442117366
Feature_213,-0.0027632301366497815,0.0027632301366497815
Feature_769,0.00274803491248548,0.00274803491248548
Feature_927,0.0027188456539626316,0.0027188456539626316
Feature_2,0.0026793806834723454,0.0026793806834723454
Feature_136,0.0025773633419521502,0.0025773633419521502
Feature_176,0.002476126431522516,0.002476126431522516
Feature_563,0.00244537194911004,0.00244537194911004
Feature_493,0.0024177762504359636,0.0024177762504359636
Feature_948,0.002359323610352817,0.002359323610352817
Feature_587,0.0022905484124021314,0.0022905484124021314
Feature_284,0.002176262752307707,0.002176262752307707
Feature_657,-0.0020992694033614614,0.0020992694033614614
Feature_979,0.0020534677916703003,0.0020534677916703003
Feature_803,-0.0020480143109102757,0.0020480143109102757
Feature_198,-0.0019918432624814386,0.0019918432624814386
Feature_894,0.001959804262627358,0.001959804262627358
Feature_808,0.0019542676893328803,0.0019542676893328803
Feature_524,-0.0019267627625595197,0.0019267627625595197
Feature_16,0.0019204524261087386,0.0019204524261087386
Feature_580,0.0018821752486914533,0.0018821752486914533
Feature_742,-0.0018717806473091513,0.0018717806473091513
Feature_897,0.001834537508547811,0.001834537508547811
Feature_733,0.0018268257851445924,0.0018268257851445924
Feature_607,0.0018157989380415528,0.0018157989380415528
Feature_192,0.00178551903181841,0.00178551903181841
Feature_161,0.0017646532446269703,0.0017646532446269703
Feature_457,0.0017296709334583581,0.0017296709334583581
Feature_593,0.0015810454589519907,0.0015810454589519907
Feature_790,0.001578650441570062,0.001578650441570062
Feature_125,0.0015715054786187466,0.0015715054786187466
Feature_977,-0.0015684007304389526,0.0015684007304389526
Feature_865,-0.001527375583025332,0.001527375583025332
Feature_642,0.0015182611030468251,0.0015182611030468251
Feature_576,0.0015120632581101744,0.0015120632581101744
Feature_1009,0.0014940076540187874,0.0014940076540187874
Feature_93,0.0014485012648947303,0.0014485012648947303
Feature_799,0.0013851145294944444,0.0013851145294944444
Feature_962,0.0013809298528246927,0.0013809298528246927
Feature_221,-0.0013666172966122758,0.0013666172966122758
Feature_193,0.0013613306538769621,0.0013613306538769621
Feature_327,0.0013515670008609959,0.0013515670008609959
Feature_651,0.0013508006941904682,0.0013508006941904682
Feature_832,-0.0013420246043418871,0.0013420246043418871
Feature_361,-0.0013261212989445425,0.0013261212989445425
Feature_485,-0.0012885866705227044,0.0012885866705227044
Feature_813,0.0012368311939690102,0.0012368311939690102
Feature_34,0.0012284379618725083,0.0012284379618725083
Feature_285,0.0012176204719713723,0.0012176204719713723
Feature_792,0.0012169538375201227,0.0012169538375201227
Feature_1018,0.0011753114564083944,0.0011753114564083944
Feature_844,0.0011730366021834016,0.0011730366021834016
Feature_421,0.001160683405078089,0.001160683405078089
Feature_275,0.001157186042282774,0.001157186042282774
Feature_336,-0.0011556489088525269,0.0011556489088525269
Feature_846,0.0011491815200406564,0.0011491815200406564
Feature_81,-0.0011430795117469473,0.0011430795117469473
Feature_588,0.0011294661936699412,0.0011294661936699412
Feature_595,-0.0010557968028012965,0.0010557968028012965
Feature_295,-0.0010376042300555355,0.0010376042300555355
Feature_766,0.001037090887184604,0.001037090887184604
Feature_334,0.001018565770293236,0.001018565770293236
Feature_565,0.0009894713804351341,0.0009894713804351341
Feature_120,-0.0009851642867782574,0.0009851642867782574
Feature_739,-0.0009812957592566817,0.0009812957592566817
Feature_829,-0.0009796053927880167,0.0009796053927880167
Feature_765,0.00097887381936971,0.00097887381936971
Feature_982,0.0009473961062633407,0.0009473961062633407
Feature_268,0.0009427632962956523,0.0009427632962956523
Feature_988,0.0009333085355638104,0.0009333085355638104
Feature_513,0.0009329771349592874,0.0009329771349592874
Feature_5,0.0009267053251529944,0.0009267053251529944
Feature_96,0.0009080907945951821,0.0009080907945951821
Feature_4,-0.0009054137551754593,0.0009054137551754593
Feature_236,0.0009013851133249773,0.0009013851133249773
Feature_328,0.0008980287262522779,0.0008980287262522779
Feature_994,0.0008974212876358933,0.0008974212876358933
Feature_326,-0.0008927582185748406,0.0008927582185748406
Feature_464,0.0008842177598330636,0.0008842177598330636
Feature_740,-0.0008728733525799725,0.0008728733525799725
Feature_737,0.0008600973432930914,0.0008600973432930914
Feature_54,0.0008569331862008767,0.0008569331862008767
Feature_759,-0.0008456636763139613,0.0008456636763139613
Feature_504,-0.0008428376609845146,0.0008428376609845146
Feature_447,0.0008265967528018336,0.0008265967528018336
Feature_122,0.000818733040650983,0.000818733040650983
Feature_126,0.0008078457200281264,0.0008078457200281264
Feature_251,0.0008065336831600689,0.0008065336831600689
Feature_51,0.0008006806443563619,0.0008006806443563619
Feature_20,0.0007943811977406767,0.0007943811977406767
Feature_61,-0.0007935683658593007,0.0007935683658593007
Feature_232,0.000791475369460386,0.000791475369460386
Feature_959,0.0007600005762225237,0.0007600005762225237
Feature_916,-0.0007566728830744296,0.0007566728830744296
Feature_854,-0.0007555653181998423,0.0007555653181998423
Feature_276,0.0007366940567990809,0.0007366940567990809
Feature_817,0.0007345423508061799,0.0007345423508061799
Feature_836,0.0007180377291422246,0.0007180377291422246
Feature_667,0.0007177222167001673,0.0007177222167001673
Feature_712,0.000710033755151187,0.000710033755151187
Feature_376,-0.0007066293299476456,0.0007066293299476456
Feature_342,0.0007056922334481897,0.0007056922334481897
Feature_816,-0.0006961954323060126,0.0006961954323060126
Feature_459,0.0006943348636013269,0.0006943348636013269
Feature_793,-0.0006918024504547304,0.0006918024504547304
Feature_550,0.0006899721761985234,0.0006899721761985234
Feature_787,0.0006735085269997398,0.0006735085269997398
Feature_90,0.000663310007103064,0.000663310007103064
Feature_869,-0.0006603864977478225,0.0006603864977478225
Feature_750,0.0006486632286669191,0.0006486632286669191
Feature_795,0.0006387687290020949,0.0006387687290020949
