feature,importance
Feature_625,0.01031926972847058
Feature_725,0.009372889567277337
Feature_136,0.008835305512652734
Feature_657,0.007172442781314618
Feature_882,0.0067432857735867
Feature_927,0.0067205601662779
Feature_457,0.006666924614063294
Feature_326,0.006515758874168643
Feature_213,0.006354407662989517
Feature_936,0.00569841010796297
Feature_914,0.0051044204712755465
Feature_715,0.004816775050654252
Feature_65,0.00450645932465464
Feature_1020,0.0045039765209982366
Feature_485,0.004355000903126968
Feature_576,0.0043225995409417566
Feature_504,0.004223877564481508
Feature_434,0.004127011081206031
Feature_315,0.004120829500609204
Feature_959,0.004101569570947321
Feature_574,0.004100060187433219
Feature_876,0.004055628830865916
Feature_733,0.003971105251177117
Feature_674,0.003923569263884846
Feature_790,0.003865626997966333
Feature_198,0.0038458025883291586
Feature_353,0.0038218409590558295
Feature_808,0.0037898132610951272
Feature_148,0.0036767208656790337
Feature_742,0.0036630681372573364
Feature_894,0.003583776709615556
Feature_593,0.0035390281536945255
Feature_587,0.0033770909196693417
Feature_91,0.00337026733197358
Feature_16,0.003177657080804524
Feature_390,0.003074008937502016
Feature_129,0.003053268325783962
Feature_221,0.003027569520420234
Feature_766,0.0030105416649137645
Feature_817,0.0029893497721454345
Feature_122,0.0029571416528382153
Feature_581,0.002919460255119284
Feature_696,0.0029130959612841513
Feature_785,0.00291166611403127
Feature_916,0.0028977449876360704
Feature_336,0.0028957749654772045
Feature_306,0.0028851071859947288
Feature_651,0.0028824270080521274
Feature_2,0.0028661700339292777
Feature_803,0.002856127488406709
Feature_120,0.002834311223283048
Feature_161,0.002832206941735901
Feature_236,0.002821256957207218
Feature_668,0.002762365850435952
Feature_977,0.0027609578576504247
Feature_284,0.0027289311999435764
Feature_4,0.002663552129133327
Feature_302,0.0026351834617940216
Feature_125,0.0026281324707028266
Feature_714,0.0026025529106497407
Feature_430,0.002595776178496964
Feature_607,0.0025766315288274703
Feature_103,0.0025760315542436986
Feature_524,0.002574724126761527
Feature_660,0.0025743061730481203
Feature_740,0.0025691406248279434
Feature_34,0.0025651398479205035
Feature_382,0.0025558332174217074
Feature_699,0.0025414762587829304
Feature_379,0.0025330834513227892
Feature_719,0.002516606050906918
Feature_513,0.002492529668781966
Feature_595,0.002481517817868915
Feature_994,0.0024801963237784503
Feature_408,0.0024589923706525196
Feature_176,0.002455319710010348
Feature_856,0.0024515622852269055
Feature_295,0.0024451820017442525
Feature_832,0.0024426657815878137
Feature_565,0.0024033856239073716
Feature_166,0.002387504633942441
Feature_90,0.0023864592284974996
Feature_220,0.0023801626879613475
Feature_562,0.002378860671830113
Feature_81,0.0023421625511782264
Feature_471,0.0023166657831867822
Feature_563,0.0022984126509560288
Feature_731,0.002258352811809915
Feature_641,0.002213271368756451
Feature_217,0.002210335821858559
Feature_988,0.002199164462613942
Feature_768,0.00215902664041438
Feature_269,0.0021548657000762536
Feature_888,0.0021488396758881467
Feature_487,0.002145471917276481
Feature_700,0.002137275840593612
Feature_795,0.0021140350334938893
Feature_327,0.0021130914002689743
Feature_334,0.002103071213033424
Feature_78,0.002102871378590834
Feature_865,0.0021001659702146735
Feature_193,0.0020993024485072035
Feature_323,0.0020872936543136285
Feature_654,0.0020858651332387994
Feature_905,0.0020733075518793403
Feature_43,0.0020711638343001576
Feature_272,0.0020561923229769088
Feature_550,0.0020561021228758585
Feature_947,0.0020536000464264907
Feature_285,0.0020360800146840188
Feature_842,0.0020058217942585527
Feature_689,0.001999570674284928
Feature_889,0.0019994683156849607
Feature_37,0.001999444516974015
Feature_51,0.001991141163493423
Feature_515,0.0019736458923758408
Feature_429,0.0019590091517724738
Feature_813,0.001956970262915221
Feature_807,0.0019422558299102381
Feature_829,0.0019390018143956118
Feature_250,0.0019239737903282306
Feature_624,0.0019118069867959293
Feature_1009,0.0018912546959920984
Feature_799,0.001885776331063602
Feature_953,0.001885701484289796
Feature_367,0.0018852633498783618
Feature_5,0.0018798460626791712
Feature_997,0.0018787040673845545
Feature_447,0.0018763591959829581
Feature_726,0.0018644550850019177
Feature_311,0.0018506311689273935
Feature_931,0.0018492623439711694
Feature_141,0.0018405160043822484
Feature_362,0.0018395648439443512
Feature_96,0.0018377479065021915
Feature_986,0.0018330070541945679
Feature_800,0.001830669083366112
Feature_493,0.0018260994834448836
Feature_351,0.0018248031740829996
Feature_61,0.0018245494990340643
Feature_75,0.001823650071133488
Feature_780,0.0018174917797278574
Feature_137,0.0018174271437742062
Feature_975,0.001805969729928418
Feature_342,0.0017889005086412528
Feature_329,0.0017765063739084038
Feature_642,0.0017755869122832379
Feature_933,0.0017721036842760617
Feature_623,0.0017709807165694606
Feature_46,0.0017685840502230953
Feature_290,0.001767688645463806
Feature_387,0.0017513398212704694
Feature_884,0.0017507795084718753
Feature_588,0.001749502297604586
Feature_368,0.0017373500415732719
Feature_737,0.0017360973151219724
Feature_238,0.0017217630524893079
Feature_208,0.0017122667006408787
Feature_453,0.0017026615835445031
Feature_14,0.0016873863200420531
Feature_869,0.0016799916798888419
Feature_459,0.0016789076740524804
Feature_961,0.0016647290577420937
Feature_571,0.0016647160976656441
Feature_376,0.0016635928225964844
Feature_887,0.0016517763721574186
Feature_512,0.0016487109538035512
Feature_759,0.0016449382078149023
Feature_729,0.001637084041194333
Feature_897,0.0016320602682396365
Feature_962,0.0016281035643140322
Feature_782,0.0016273410266103953
Feature_275,0.001606580734435546
Feature_685,0.0015909676699716944
Feature_792,0.0015808083663919714
Feature_47,0.0015595171896508123
Feature_552,0.0015575105598688071
Feature_985,0.00155338821982088
Feature_276,0.0015491425087306961
Feature_407,0.0015435152107149896
Feature_113,0.0015378389049690569
Feature_232,0.0015345470955550938
Feature_844,0.001528430932349601
Feature_139,0.0015258397785409704
Feature_223,0.001525320103828766
Feature_982,0.0015252951832451912
Feature_361,0.0015216236910447986
Feature_74,0.0015169060621673584
Feature_516,0.001514279547057347
Feature_746,0.0015107853551210705
Feature_853,0.0015019566262277997
Feature_695,0.0015001268736093314
Feature_891,0.0014926237009808508
Feature_765,0.0014923475147350406
Feature_93,0.0014832693076468975
Feature_805,0.0014812383703643396
Feature_843,0.001480564572192469
Feature_1011,0.0014712722896970158
Feature_917,0.0014687172744805015
Feature_837,0.0014665607238120092
Feature_424,0.00145740936208827
Feature_620,0.001457168466326121
Feature_974,0.001454606048493148
Feature_402,0.0014500325864407124
Feature_981,0.0014453458694182121
Feature_488,0.0014420945485518787
Feature_928,0.001431465550700605
Feature_673,0.0014199191824506353
Feature_257,0.0014191814474886696
Feature_393,0.0014175955610805449
Feature_215,0.001415453983413682
Feature_143,0.001414862596017883
Feature_802,0.0014088021535922021
Feature_179,0.0014035019271203737
Feature_793,0.0014033446133384275
Feature_681,0.0014031509000287685
Feature_256,0.0013986639882870812
Feature_463,0.0013970021059293491
Feature_85,0.0013960592975792488
