feature,mean_absolute_shap
Feature_213,0.015354259908206047
Feature_927,0.014052503254195192
Feature_936,0.011598535350876819
Feature_457,0.009046612644678785
Feature_715,0.00806231195365094
Feature_1020,0.007381898114079621
Feature_657,0.007176687409957112
Feature_882,0.00691690133650937
Feature_725,0.006448405559198419
Feature_65,0.005609895085556608
Feature_326,0.005504064556470178
Feature_865,0.005103920355162871
Feature_336,0.004927667466286034
Feature_876,0.004426328051921622
Feature_485,0.004407394890519591
Feature_524,0.004139686928275537
Feature_914,0.0040167993867006304
Feature_674,0.003919498456846376
Feature_434,0.0038163887961898614
Feature_803,0.0037644019681665032
Feature_625,0.0034804102396841985
Feature_790,0.003448256722788348
Feature_129,0.003265086968614592
Feature_808,0.003144772724050368
Feature_148,0.0029115123114435313
Feature_977,0.0028856422716328667
Feature_315,0.0028842618790822306
Feature_221,0.0028772324917859106
Feature_742,0.002859987261031838
Feature_269,0.0028428541263268913
Feature_306,0.002817709846989026
Feature_574,0.002789794655439018
Feature_198,0.002731997988028978
Feature_353,0.0027071757543293785
Feature_563,0.002701967324644185
Feature_378,0.0026815091338053053
Feature_714,0.0026682699711494144
Feature_390,0.002655593289369641
Feature_274,0.0026413674156352176
Feature_376,0.0026070305857018184
Feature_739,0.0025854815901949434
Feature_120,0.002568437044219467
Feature_311,0.002542880782313495
Feature_91,0.0023983155233216337
Feature_272,0.0023959568510297895
Feature_122,0.0023493318547284227
Feature_587,0.002337978565265986
Feature_894,0.0023190837633024807
Feature_785,0.0022997688615907933
Feature_916,0.00222356197555689
Feature_740,0.0021439896749125818
Feature_2,0.0020623962928141707
Feature_136,0.0020061563430702114
Feature_81,0.00198792724967337
Feature_576,0.0019683641839657396
Feature_856,0.00195418601429858
Feature_504,0.0019428944498247572
Feature_379,0.0018661078414161359
Feature_660,0.0018017179551470214
Feature_113,0.0018006573554590817
Feature_516,0.0017934137461285136
Feature_668,0.0017919309748461601
Feature_733,0.001791197974940132
Feature_4,0.0017733571348547844
Feature_284,0.0017313587676479596
Feature_364,0.0016682533773874162
Feature_651,0.001663375696444711
Feature_696,0.001611555961095913
Feature_273,0.0015870281780441373
Feature_593,0.0015671791401186098
Feature_813,0.0015662006188527724
Feature_607,0.001564579847945058
Feature_588,0.0015462037927864707
Feature_302,0.001531687368368381
Feature_342,0.0015127807315153804
Feature_493,0.0014870095742868846
Feature_125,0.0014702467731388296
Feature_408,0.0014361282478263736
Feature_979,0.0014329616239246515
Feature_699,0.0014267805931757558
Feature_685,0.0014086139545006053
Feature_731,0.001408509172063937
Feature_387,0.0013961808772731277
Feature_888,0.0013909218710820561
Feature_799,0.0013856740305778536
Feature_176,0.0013843675608850917
Feature_792,0.0013792967216673215
Feature_581,0.0013530769654334454
Feature_846,0.0013524322489149867
Feature_905,0.0013018200937765937
Feature_759,0.0012931020291722774
Feature_327,0.0012928265455837077
Feature_887,0.0012882399476760278
Feature_193,0.0012717470587831896
Feature_285,0.0012573545274633486
Feature_16,0.0012313513138243368
Feature_34,0.0012240014919512583
Feature_1009,0.0011955055843273854
Feature_220,0.0011855431748104609
Feature_746,0.0011777920001534066
Feature_61,0.0011695047111376367
Feature_5,0.0011635921469966008
Feature_595,0.001153534523238619
Feature_407,0.0011517819633617451
Feature_440,0.0011395130511992501
Feature_652,0.0011320308346626663
Feature_750,0.0011315141869528244
Feature_447,0.0011124177813080513
Feature_653,0.0011047809193946304
Feature_456,0.001094716015870513
Feature_981,0.0010941106544017417
Feature_741,0.0010885252191986236
Feature_471,0.001086634011605042
Feature_842,0.0010835823933240173
Feature_367,0.0010782614101048805
Feature_161,0.0010691663374024962
Feature_962,0.0010642155494608382
Feature_768,0.0010632747211103742
Feature_623,0.0010598510529071928
Feature_817,0.0010556594614074745
Feature_565,0.0010514377844541346
Feature_917,0.0010480465430322333
Feature_43,0.001041564893424065
Feature_365,0.001030820163059053
Feature_232,0.0010274464905500609
Feature_974,0.0010273080080442218
Feature_928,0.0010268209723418955
Feature_829,0.0010122731151158714
Feature_276,0.0010041413616087701
Feature_515,0.0010004016449242962
Feature_140,0.000997023015102255
Feature_807,0.000995606173774571
Feature_899,0.000992932322396531
Feature_869,0.0009810216656418991
Feature_853,0.0009730765457897689
Feature_78,0.0009627569538121931
Feature_239,0.0009575166558359679
Feature_694,0.0009416444148528549
Feature_132,0.0009275728334979546
Feature_988,0.0009215683259102382
Feature_275,0.0009186871314307212
Feature_145,0.0009186306178120429
Feature_766,0.0009101809356407047
Feature_141,0.0009082258296748903
Feature_786,0.0009042673027018306
Feature_323,0.0009005467447654299
Feature_995,0.0008890970550390629
Feature_765,0.0008661955364947854
Feature_945,0.000848555024239298
Feature_477,0.0008480705233181309
Feature_700,0.000839085393789157
Feature_837,0.0008328513046686376
Feature_512,0.0008294198990140718
Feature_1011,0.0008239077798781593
Feature_832,0.000817436043626601
Feature_429,0.0008119236723057406
Feature_426,0.0008110166977534462
Feature_729,0.0008081452482205419
Feature_551,0.0008029178010395181
Feature_972,0.0008020771086473973
Feature_626,0.0008009419322223707
Feature_100,0.0007999201420138323
Feature_334,0.0007964591598869388
Feature_737,0.0007954982409235131
Feature_93,0.0007907504051993751
Feature_654,0.0007906622965901488
Feature_513,0.000789439803811682
Feature_843,0.0007817903695978559
Feature_295,0.0007816015288868581
Feature_90,0.0007803579284131929
Feature_810,0.0007698423428199506
Feature_126,0.0007682534290762362
Feature_329,0.0007671356329800476
Feature_96,0.0007641669333517622
Feature_959,0.000759608232341651
Feature_854,0.0007490551995437634
Feature_795,0.0007476407069062914
Feature_166,0.0007412054504975413
Feature_562,0.000734259360691766
Feature_421,0.0007328712561614183
Feature_51,0.0007327169919215917
Feature_382,0.0007227708045831929
Feature_208,0.000722390102186983
Feature_321,0.000719274518372842
Feature_362,0.0007114078000790744
Feature_947,0.0007078208235830018
Feature_642,0.0007026277802967601
Feature_185,0.0007005391255385864
Feature_558,0.0006974718726567666
Feature_816,0.0006948579401934496
Feature_982,0.0006947655691418491
Feature_755,0.0006945952756668629
Feature_250,0.0006892181840681143
Feature_20,0.0006834586943252432
Feature_64,0.000682368859524812
Feature_219,0.0006773528160060594
Feature_1003,0.0006766695119235118
Feature_54,0.0006696388832336193
Feature_667,0.0006600302531479585
Feature_487,0.0006576459198081466
Feature_328,0.0006570677730414202
Feature_361,0.0006537792546448335
Feature_647,0.0006525596419216982
Feature_531,0.0006468695407452942
Feature_915,0.000646715797500495
Feature_805,0.0006420376002234349
Feature_165,0.0006418613446948446
Feature_886,0.0006404692683750568
Feature_676,0.000639385733025636
Feature_257,0.0006359398587428101
Feature_931,0.0006349179572498747
Feature_620,0.0006298190943779787
Feature_1010,0.000629813151475658
Feature_820,0.000623889172713181
Feature_105,0.0006218789213972253
Feature_1015,0.0006200098219851133
Feature_801,0.0006153797397306792
Feature_75,0.0006147627461056261
Feature_438,0.0006055932066378857
Feature_158,0.0006035002030323895
Feature_844,0.0006013008930506494
Feature_802,0.0005961476668259791
Feature_710,0.0005953316140954054
Feature_571,0.0005946307905303642
Feature_543,0.0005907634475234673
Feature_459,0.0005895136616002833
Feature_368,0.0005867501315044884
Feature_994,0.0005865665522432737
Feature_793,0.0005850368847729042
Feature_22,0.0005828067454772181
Feature_37,0.0005798476490004293
Feature_339,0.0005774021108939003
Feature_997,0.0005761391737960723
Feature_191,0.0005760062840244405
Feature_719,0.000572203689899733
Feature_355,0.0005718132812797517
Feature_173,0.0005647839519332962
Feature_217,0.0005581118053965524
Feature_192,0.0005561683881376747
Feature_671,0.0005521727709280783
Feature_732,0.0005490969891858324
Feature_484,0.0005444174425652615
Feature_566,0.0005401852228211416
Feature_640,0.0005377208823205967
Feature_717,0.0005369874035241069
Feature_238,0.0005369674710831263
Feature_26,0.0005362086235463453
Feature_215,0.0005357946471069813
Feature_883,0.0005326500468903789
Feature_290,0.000529511144593003
Feature_21,0.0005244048659067434
Feature_909,0.0005242183782648341
Feature_430,0.0005234517034219634
Feature_474,0.0005223500479555433
Feature_343,0.0005215352100643057
Feature_925,0.000520702305321019
Feature_482,0.0005202518069370484
Feature_186,0.0005189236796968246
Feature_14,0.0005171198837817973
Feature_722,0.0005153259047665604
Feature_187,0.0005096202870164493
Feature_137,0.0005073808727392615
Feature_231,0.0005019119234206978
Feature_201,0.0005001540326725683
Feature_473,0.0004973251164307145
Feature_1018,0.0004964405944220531
Feature_884,0.0004956310476559272
Feature_721,0.0004944047889448642
Feature_726,0.0004929329940183763
Feature_406,0.0004920312985719644
Feature_111,0.0004901139883338881
Feature_787,0.0004899114562429308
Feature_751,0.0004891196218621184
Feature_175,0.000489002643642448
Feature_956,0.0004884773630590232
Feature_665,0.00048806109016269207
Feature_420,0.0004863137538849184
Feature_251,0.00048520087548467627
Feature_103,0.0004776244594389812
Feature_402,0.00047744565794432327
Feature_85,0.0004760740051948573
Feature_236,0.00047540937208633764
Feature_256,0.0004718155578836633
Feature_968,0.00047115952770456995
Feature_953,0.00047093777407918947
Feature_465,0.0004707690125209776
Feature_115,0.00047073499012859966
Feature_758,0.0004696265190986594
Feature_641,0.00046228515323414423
Feature_102,0.0004611462548069536
Feature_228,0.0004590987892113784
Feature_933,0.00045712672553315377
Feature_580,0.00045481827952354044
Feature_985,0.00044858914186800253
Feature_724,0.0004463756003892265
Feature_80,0.00044535986268785295
Feature_330,0.0004438447425060959
Feature_986,0.0004387957648965459
Feature_223,0.0004379264301273011
Feature_464,0.0004376868668930962
Feature_8,0.00043554095519477863
Feature_9,0.00043444320618215085
Feature_204,0.00043033720942998516
Feature_773,0.00042986559430776216
Feature_131,0.000424835693342487
Feature_836,0.00042431200009858286
Feature_222,0.0004213456478483864
Feature_135,0.0004182038276226843
Feature_900,0.0004115555341955965
Feature_139,0.000407069233586279
Feature_645,0.0004021608371348662
Feature_655,0.00040108283290895934
Feature_211,0.00040047049246371406
Feature_586,0.0004003737303113639
Feature_159,0.00039902759358702197
Feature_180,0.0003977598831405624
Feature_163,0.0003955188896765135
Feature_210,0.00039402014868666083
Feature_66,0.0003934586942192442
Feature_547,0.00039321450167145613
Feature_30,0.00039173855005191085
Feature_446,0.00038757644683047723
Feature_780,0.0003869334385453516
Feature_745,0.0003851330044753909
Feature_961,0.00038510508995962233
Feature_889,0.0003845521886588792
Feature_955,0.00038211571576609313
Feature_518,0.00038196020179077835
Feature_182,0.00038173941671717685
Feature_146,0.0003815446380588033
Feature_155,0.0003781081231081685
Feature_167,0.00037782335347220816
Feature_27,0.00037483873521026653
Feature_393,0.00037026244364643746
Feature_84,0.00036889514210473764
Feature_550,0.0003679692948635369
Feature_481,0.0003671833452861561
Feature_599,0.0003665490019211205
Feature_35,0.000361643662419778
Feature_830,0.0003608114204169836
Feature_319,0.0003583258594268274
Feature_845,0.0003576599871816548
Feature_495,0.00035764011287328195
Feature_897,0.00035749322177471455
Feature_246,0.0003548935303842981
Feature_127,0.0003540804334425008
Feature_46,0.00035346433107501045
Feature_608,0.00034995429302964794
Feature_582,0.0003463862223524879
Feature_704,0.0003461478884960052
Feature_624,0.00034110363360379036
Feature_216,0.000339619478079777
Feature_744,0.00033932963574179957
Feature_449,0.00033927463373651534
Feature_461,0.000338913210481846
Feature_650,0.00033780346706389626
Feature_492,0.0003341918251666938
Feature_727,0.0003337812909928432
Feature_781,0.00033191145826068277
Feature_851,0.0003316833641457608
Feature_695,0.00033135511481939084
Feature_74,0.000329964195537258
Feature_557,0.00032905295997957736
Feature_689,0.00032583606445422264
Feature_975,0.0003255208789126877
Feature_578,0.00032514045729368195
